critic_count,critic_score,developer,eu_sales,genre,global_sales,jp_sales,na_sales,name,other_sales,platform,publisher,rating,user_count,user_score,year_of_release
50.0,97.0,Rockstar North,9.09,Action,21.04,0.98,7.02,Grand Theft Auto V,3.96,PS3,Take-Two Interactive,M,3994.0,8.2,2013
80.0,95.0,Rockstar North,0.4,Action,20.81,0.41,9.43,Grand Theft Auto: San Andreas,10.57,PS2,Take-Two Interactive,M,1588.0,9.0,2004
,,,3.75,Platform,20.61,3.54,12.78,Super Mario World,0.55,SNES,Nintendo,,,,1990
58.0,77.0,Nintendo,9.2,Misc,20.15,4.16,4.74,Brain Age: Train Your Brain in Minutes a Day,2.04,DS,Nintendo,E,50.0,7.9,2005
,,,4.46,Role-Playing,18.25,6.04,6.38,Pokemon Diamond/Pokemon Pearl,1.36,DS,Nintendo,,,,2006
,,,2.71,Platform,18.14,4.18,10.83,Super Mario Land,0.42,GB,Nintendo,,,,1989
,,,3.44,Platform,17.28,3.84,9.54,Super Mario Bros. 3,0.46,NES,Nintendo,,,,1988
58.0,97.0,Rockstar North,5.14,Action,16.27,0.06,9.66,Grand Theft Auto V,1.41,X360,Take-Two Interactive,M,3711.0,8.1,2013
62.0,95.0,Rockstar North,5.49,Action,16.15,0.47,8.41,Grand Theft Auto: Vice City,1.78,PS2,Take-Two Interactive,M,730.0,8.7,2002
,,,3.9,Role-Playing,15.85,5.38,6.06,Pokemon Ruby/Pokemon Sapphire,0.5,GBA,Nintendo,,,,2002
37.0,77.0,Nintendo,5.35,Puzzle,15.29,5.32,3.43,Brain Age 2: More Training in Minutes a Day,1.18,DS,Nintendo,E,19.0,7.1,2005
,,,3.17,Role-Playing,15.14,5.65,5.51,Pokemon Black/Pokemon White,0.8,DS,Nintendo,,,,2010
54.0,95.0,Polyphony Digital,5.09,Racing,14.98,1.87,6.85,Gran Turismo 3: A-Spec,1.16,PS2,Sony Computer Entertainment,E,314.0,8.4,2001
81.0,88.0,"Infinity Ward, Sledgehammer Games",4.24,Shooter,14.73,0.13,9.04,Call of Duty: Modern Warfare 3,1.32,X360,Activision,M,8713.0,3.4,2011
,,,5.04,Role-Playing,14.64,3.12,5.89,Pokémon Yellow: Special Pikachu Edition,0.59,GB,Nintendo,,,,1998
,,,5.86,Shooter,14.63,0.36,6.03,Call of Duty: Black Ops 3,2.38,PS4,Activision,,,,2015
89.0,87.0,Treyarch,3.68,Shooter,14.61,0.11,9.7,Call of Duty: Black Ops,1.13,X360,Activision,M,1454.0,6.3,2010
,,,4.19,Role-Playing,14.6,4.35,5.28,Pokemon X/Pokemon Y,0.78,3DS,Nintendo,,,,2013
21.0,83.0,Treyarch,5.73,Shooter,13.79,0.65,4.99,Call of Duty: Black Ops II,2.42,PS3,Activision,M,922.0,5.3,2012
73.0,83.0,Treyarch,4.24,Shooter,13.67,0.07,8.25,Call of Duty: Black Ops II,1.12,X360,Activision,M,2256.0,4.8,2012
100.0,94.0,Infinity Ward,3.59,Shooter,13.47,0.08,8.52,Call of Duty: Modern Warfare 2,1.28,X360,Activision,M,2698.0,6.3,2009
39.0,88.0,"Infinity Ward, Sledgehammer Games",5.73,Shooter,13.32,0.49,5.54,Call of Duty: Modern Warfare 3,1.57,PS3,Activision,M,5234.0,3.2,2011
56.0,97.0,DMA Design,4.51,Action,13.1,0.3,6.99,Grand Theft Auto III,1.3,PS2,Take-Two Interactive,M,664.0,8.5,2001
81.0,93.0,Game Arts,2.55,Fighting,12.84,2.66,6.62,Super Smash Bros. Brawl,1.01,Wii,Nintendo,T,1662.0,8.9,2008
73.0,85.0,"Retro Studios, Entertainment Analysis & Development Division",4.02,Racing,12.66,2.69,5.03,Mario Kart 7,0.91,3DS,Nintendo,E,632.0,8.2,2011
58.0,88.0,Treyarch,4.37,Shooter,12.63,0.48,5.99,Call of Duty: Black Ops,1.79,PS3,Activision,M,1094.0,6.4,2010
66.0,97.0,Rockstar North,6.31,Action,12.61,0.38,3.96,Grand Theft Auto V,1.97,PS4,Take-Two Interactive,M,2899.0,8.3,2014
57.0,86.0,Nintendo,3.45,Simulation,12.13,5.33,2.5,Animal Crossing: Wild World,0.86,DS,Nintendo,E,242.0,8.7,2005
86.0,94.0,"Bungie Software, Bungie",2.81,Shooter,12.12,0.13,7.97,Halo 3,1.21,X360,Microsoft Game Studios,M,4100.0,7.8,2007
,,,2.85,Platform,11.89,1.91,6.91,Super Mario 64,0.23,N64,Nintendo,,,,1996
,,,2.71,Action,11.77,3.96,4.34,Pokemon HeartGold/Pokemon SoulSilver,0.76,DS,Nintendo,,,,2009
,,,3.49,Role-Playing,11.68,3.1,4.35,Pokemon Omega Ruby/Pokemon Alpha Sapphire,0.74,3DS,Nintendo,,,,2014
74.0,89.0,Polyphony Digital,0.01,Racing,11.66,1.1,3.01,Gran Turismo 4,7.53,PS2,Sony Computer Entertainment,E,272.0,8.5,2004
73.0,97.0,Nintendo,3.35,Platform,11.35,1.2,6.06,Super Mario Galaxy,0.74,Wii,Nintendo,E,2147.0,8.9,2007
,,,2.04,Adventure,11.18,2.69,6.16,Super Mario Land 2: 6 Golden Coins,0.29,GB,Nintendo,,,,1992
86.0,98.0,Rockstar North,3.07,Action,11.01,0.14,6.76,Grand Theft Auto IV,1.03,X360,Take-Two Interactive,M,2951.0,7.9,2008
16.0,96.0,Polyphony Digital,3.87,Racing,10.95,2.54,4.02,Gran Turismo,0.52,PS,Sony Computer Entertainment,E,138.0,8.7,1997
82.0,90.0,Nintendo,3.0,Platform,10.81,2.14,4.89,Super Mario 3D Land,0.78,3DS,Nintendo,E,921.0,8.4,2011
82.0,84.0,Polyphony Digital,4.82,Racing,10.7,0.81,2.96,Gran Turismo 5,2.11,PS3,Sony Computer Entertainment,E,1112.0,7.5,2010
67.0,94.0,Infinity Ward,3.64,Shooter,10.6,0.38,4.99,Call of Duty: Modern Warfare 2,1.6,PS3,Activision,M,2073.0,6.3,2009
,,,2.15,Platform,10.55,2.12,5.99,Super Mario All-Stars,0.29,SNES,Nintendo,,,,1993
64.0,98.0,Rockstar North,3.69,Action,10.5,0.44,4.76,Grand Theft Auto IV,1.61,PS3,Take-Two Interactive,M,2833.0,7.5,2008
,,,2.65,Role-Playing,10.49,3.15,4.34,Pokemon FireRed/Pokemon LeafGreen,0.35,GBA,Nintendo,,,,2004
,,,3.07,Platform,10.3,1.25,5.01,Super Mario 64,0.97,DS,Nintendo,,,,2004
29.0,73.0,Infinity Ward,2.56,Shooter,10.25,0.04,6.73,Call of Duty: Ghosts,0.91,X360,Activision,M,2117.0,2.6,2013
15.0,74.0,Ubisoft,3.11,Misc,10.12,0.0,5.95,Just Dance 3,1.06,Wii,Ubisoft,E10+,16.0,7.8,2011
70.0,78.0,Nintendo,3.14,Platform,9.9,2.47,3.66,New Super Mario Bros. 2,0.63,3DS,Nintendo,E,424.0,7.2,2012
,,,1.94,Racing,9.87,2.23,5.55,Mario Kart 64,0.15,N64,Nintendo,,,,1996
99.0,91.0,Bungie,1.95,Shooter,9.86,0.08,7.04,Halo: Reach,0.79,X360,Microsoft Game Studios,M,2045.0,7.9,2010
20.0,92.0,SquareSoft,2.47,Role-Playing,9.72,3.28,3.01,Final Fantasy VII,0.96,PS,Sony Computer Entertainment,T,1282.0,9.2,1997
87.0,87.0,343 Industries,2.28,Shooter,9.71,0.04,6.65,Halo 4,0.74,X360,Microsoft Game Studios,M,3260.0,7.0,2012
23.0,93.0,Polyphony Digital,3.42,Racing,9.49,1.69,3.88,Gran Turismo 2,0.5,PS,Sony Computer Entertainment,T,135.0,9.0,1999
24.0,74.0,Ubisoft,2.85,Misc,9.44,0.01,5.8,Just Dance 2,0.78,Wii,Ubisoft,E10+,24.0,7.3,2010
10.0,71.0,Infinity Ward,3.63,Shooter,9.36,0.38,4.1,Call of Duty: Ghosts,1.25,PS3,Activision,M,1047.0,2.6,2013
70.0,94.0,Infinity Ward,2.36,Shooter,9.31,0.13,5.93,Call of Duty 4: Modern Warfare,0.9,X360,Activision,M,1320.0,8.4,2007
,,,1.71,Platform,9.3,3.0,4.36,Donkey Kong Country,0.23,SNES,Nintendo,,,,1994
,,,2.65,Misc,9.18,0.02,5.7,Minecraft,0.81,X360,Microsoft Game Studios,,,,2013
70.0,88.0,Nintendo,2.36,Simulation,9.16,4.39,2.03,Animal Crossing: New Leaf,0.39,3DS,Nintendo,E,626.0,8.7,2012
27.0,72.0,Hudson Soft,1.85,Misc,8.91,1.98,4.4,Mario Party DS,0.68,DS,Nintendo,E,85.0,7.8,2007
89.0,96.0,Bethesda Game Studios,2.79,Role-Playing,8.79,0.1,5.05,The Elder Scrolls V: Skyrim,0.85,X360,Bethesda Softworks,M,3589.0,8.4,2011
,,,1.24,Racing,8.76,3.81,3.54,Super Mario Kart,0.18,SNES,Nintendo,,,,1992
42.0,82.0,EA Sports,6.12,Sports,8.57,0.06,1.12,FIFA 16,1.28,PS4,Electronic Arts,E,896.0,4.3,2015
91.0,95.0,Bungie Software,1.53,Shooter,8.49,0.05,6.82,Halo 2,0.08,XB,Microsoft Game Studios,M,1218.0,8.2,2004
42.0,68.0,Nd Cube,3.47,Misc,8.38,2.49,1.75,Wii Party,0.67,Wii,Nintendo,E,54.0,7.4,2010
41.0,62.0,Hudson,2.24,Misc,8.27,1.58,3.74,Mario Party 8,0.7,Wii,Nintendo,E,190.0,6.3,2007
37.0,88.0,Electronic Arts,5.01,Action,8.16,0.13,1.06,FIFA Soccer 13,1.97,PS3,Electronic Arts,E,348.0,6.6,2012
,,,2.01,Shooter,8.09,0.13,5.8,GoldenEye 007,0.15,N64,Nintendo,,,,1997
,,,1.72,Role-Playing,8.07,3.14,2.79,Pokemon Black 2/Pokemon White 2,0.41,DS,Nintendo,,,,2012
53.0,92.0,SquareSoft,2.07,Role-Playing,8.05,2.73,2.91,Final Fantasy X,0.33,PS2,Sony Computer Entertainment,T,1056.0,8.7,2001
75.0,86.0,The Sims Studio,6.42,Simulation,8.01,0.0,0.99,The Sims 3,0.6,PC,Electronic Arts,T,886.0,7.6,2009
,,,3.86,Sports,7.99,0.66,2.57,Mario & Sonic at the Olympic Games,0.91,Wii,Sega,,,,2007
,,,3.49,Shooter,7.98,0.22,2.99,Star Wars Battlefront (2015),1.28,PS4,Electronic Arts,,,,2015
24.0,90.0,SquareSoft,1.72,Role-Playing,7.86,3.63,2.28,Final Fantasy VIII,0.23,PS,SquareSoft,T,644.0,8.6,1999
,,,0.45,Puzzle,7.81,0.0,7.28,Pac-Man,0.08,2600,Atari,,,,1982
46.0,83.0,Game Freak,1.72,Role-Playing,7.72,2.69,2.76,Pokémon Platinum Version,0.54,DS,Nintendo,E,203.0,8.5,2008
65.0,88.0,Rockstar Leeds,2.81,Action,7.69,0.24,2.9,Grand Theft Auto: Liberty City Stories,1.73,PSP,Take-Two Interactive,M,451.0,7.6,2005
39.0,83.0,Sledgehammer Games,3.48,Shooter,7.66,0.14,2.81,Call of Duty: Advanced Warfare,1.23,PS4,Activision,M,1443.0,5.7,2014
,,,1.89,Action,7.6,1.45,4.1,The Legend of Zelda: Ocarina of Time,0.16,N64,Nintendo,,,,1998
41.0,85.0,"EA Sports, EA Vancouver",5.75,Sports,7.59,0.08,0.66,FIFA 17,1.11,PS4,Electronic Arts,E,398.0,5.0,2016
,,,2.17,Platform,7.58,1.31,3.78,Crash Bandicoot 2: Cortex Strikes Back,0.31,PS,Sony Computer Entertainment,,,,1997
,,,1.37,Fighting,7.55,2.43,3.27,Super Smash Bros. for Wii U and 3DS,0.48,3DS,Nintendo,,,,2014
87.0,97.0,Nintendo EAD Tokyo,2.35,Platform,7.51,0.98,3.56,Super Mario Galaxy 2,0.62,Wii,Nintendo,E,1854.0,9.1,2010
,,,1.18,Platform,7.46,0.7,5.39,Super Mario Bros. 2,0.19,NES,Nintendo,,,,1988
,,,2.11,Shooter,7.39,0.01,4.59,Call of Duty: Black Ops 3,0.68,XOne,Activision,,,,2015
84.0,84.0,Treyarch,1.88,Shooter,7.38,0.0,4.81,Call of Duty: World at War,0.69,X360,Activision,M,580.0,7.6,2008
57.0,84.0,EA DICE,2.11,Shooter,7.32,0.06,4.46,Battlefield 3,0.69,X360,Electronic Arts,M,2142.0,7.4,2011
33.0,85.0,EA Black Box,2.83,Racing,7.2,0.08,3.27,Need for Speed Underground,1.02,PS2,Electronic Arts,E,171.0,8.6,2003
21.0,49.0,Ubisoft Paris,2.99,Misc,7.2,0.0,3.48,Just Dance,0.73,Wii,Ubisoft,E10+,110.0,8.0,2009
38.0,85.0,EA DICE,2.89,Shooter,7.17,0.35,2.85,Battlefield 3,1.08,PS3,Electronic Arts,M,1761.0,7.5,2011
58.0,87.0,Bethesda Game Studios,3.27,Role-Playing,7.16,0.24,2.53,Fallout 4,1.13,PS4,Bethesda Softworks,M,4228.0,6.5,2015
15.0,96.0,Namco,2.22,Fighting,7.16,1.4,3.27,Tekken 3,0.29,PS,Sony Computer Entertainment,T,367.0,9.1,1998
73.0,95.0,Nintendo,2.14,Action,7.15,0.6,3.74,The Legend of Zelda: Twilight Princess,0.68,Wii,Nintendo,T,1658.0,9.0,2006
,,,1.45,Role-Playing,7.14,2.26,2.98,Pokemon Sun/Moon,0.45,3DS,Nintendo,,,,2016
12.0,91.0,Naughty Dog,1.75,Platform,7.13,1.42,3.68,Crash Bandicoot 3: Warped,0.28,PS,Sony Computer Entertainment,E,432.0,8.9,1998
82.0,88.0,Nintendo,2.15,Racing,7.09,1.28,3.15,Mario Kart 8,0.51,WiiU,Nintendo,E,1599.0,9.1,2014
38.0,92.0,HAL Labs,1.04,Fighting,7.07,1.39,4.41,Super Smash Bros. Melee,0.22,GC,Nintendo,T,568.0,9.1,2001
,,,1.77,Racing,6.95,0.87,4.12,Mario Kart: Double Dash!!,0.19,GC,Nintendo,,,,2003
39.0,82.0,EA Canada,3.02,Racing,6.9,0.08,2.71,Need for Speed Underground 2,1.09,PS2,Electronic Arts,E,132.0,8.6,2004
29.0,88.0,EA LA,2.75,Shooter,6.83,0.17,2.93,Medal of Honor: Frontline,0.99,PS2,Electronic Arts,T,135.0,8.5,2002
,,,2.35,Platform,6.82,0.94,3.23,Crash Bandicoot,0.3,PS,Sony Computer Entertainment,,,,1996
10.0,74.0,Ubisoft,2.16,Misc,6.76,0.0,4.05,Just Dance 4,0.55,Wii,Ubisoft,E10+,28.0,7.3,2012
90.0,93.0,Epic Games,1.9,Shooter,6.75,0.06,4.15,Gears of War 2,0.64,X360,Microsoft Game Studios,M,2739.0,7.7,2008
97.0,92.0,Naughty Dog,2.75,Action,6.74,0.19,2.77,Uncharted 3: Drake's Deception,1.03,PS3,Sony Computer Entertainment,T,3712.0,8.3,2011
,,"Pipeworks Software, Inc.",2.59,Sports,6.71,0.0,3.45,Zumba Fitness,0.66,Wii,505 Games,E,,,2010
44.0,94.0,Infinity Ward,2.26,Shooter,6.68,0.28,3.11,Call of Duty 4: Modern Warfare,1.03,PS3,Activision,M,993.0,8.4,2007
105.0,96.0,Naughty Dog,2.2,Action,6.66,0.21,3.27,Uncharted 2: Among Thieves,0.98,PS3,Sony Computer Entertainment,T,5187.0,8.8,2009
,,,4.3,Sports,6.65,0.11,0.84,FIFA 12,1.39,PS3,Electronic Arts,,,,2011
45.0,74.0,Nintendo,2.75,Misc,6.62,1.6,1.66,Big Brain Academy,0.62,DS,Nintendo,E,27.0,7.4,2005
,,,0.93,Action,6.51,1.69,3.74,The Legend of Zelda,0.14,NES,Nintendo,,,,1986
73.0,95.0,Rockstar San Diego,2.53,Action,6.49,0.17,2.79,Red Dead Redemption,0.99,PS3,Take-Two Interactive,M,2456.0,8.8,2010
37.0,86.0,EA Canada,4.24,Sports,6.47,0.07,0.78,FIFA 14,1.37,PS3,Electronic Arts,E,576.0,4.3,2013
41.0,85.0,Ubisoft,2.52,Action,6.45,0.16,2.64,Assassin's Creed III,1.12,PS3,Ubisoft,M,1307.0,6.9,2012
77.0,87.0,Retro Studios,1.79,Platform,6.44,1.03,3.17,Donkey Kong Country Returns,0.46,Wii,Nintendo,E,368.0,8.6,2010
68.0,97.0,Bungie Software,1.3,Shooter,6.43,0.08,4.98,Halo: Combat Evolved,0.07,XB,Microsoft Game Studios,M,1283.0,8.6,2001
16.0,92.0,Bethesda Game Studios,2.6,Role-Playing,6.41,0.25,2.55,The Elder Scrolls V: Skyrim,1.0,PS3,Bethesda Softworks,M,2527.0,6.4,2011
28.0,76.0,Game Freak,1.58,Role-Playing,6.41,2.06,2.57,Pokémon Emerald Version,0.21,GBA,Nintendo,E,222.0,9.0,2004
46.0,85.0,SquareSoft,1.2,Role-Playing,6.4,1.49,3.64,Kingdom Hearts,0.07,PS2,Sony Computer Entertainment,E,597.0,8.8,2002
,,,1.56,Role-Playing,6.39,1.29,2.55,Pokémon Crystal Version,0.99,GB,Nintendo,,,,2000
94.0,83.0,"Bungie Software, Bungie",1.34,Shooter,6.34,0.06,4.34,Halo 3: ODST,0.61,X360,Microsoft Game Studios,M,1163.0,7.1,2009
96.0,95.0,Rockstar San Diego,1.95,Action,6.32,0.09,3.7,Red Dead Redemption,0.58,X360,Take-Two Interactive,M,2316.0,9.0,2010
61.0,92.0,Nintendo,1.26,Platform,6.31,0.87,4.01,Super Mario Sunshine,0.17,GC,Nintendo,E,439.0,8.6,2002
,,,0.83,Fighting,6.3,2.87,2.47,Street Fighter II: The World Warrior,0.12,SNES,Capcom,,,,1992
57.0,93.0,Blizzard Entertainment,6.21,Role-Playing,6.29,0.0,0.08,World of Warcraft,0.0,PC,Activision,T,2182.0,7.3,2004
22.0,87.0,Reflections Interactive,2.8,Action,6.27,0.02,3.11,Driver,0.33,PS,GT Interactive,T,78.0,8.1,1999
96.0,91.0,Epic Games,1.59,Shooter,6.21,0.07,4.05,Gears of War 3,0.5,X360,Microsoft Game Studios,M,1504.0,7.8,2011
51.0,73.0,Rare Ltd.,1.73,Sports,6.19,0.03,3.92,Kinect Sports,0.51,X360,Microsoft Game Studios,E10+,95.0,7.4,2010
88.0,94.0,Epic Games,1.88,Shooter,6.09,0.07,3.54,Gears of War,0.6,X360,Microsoft Game Studios,M,2295.0,8.3,2006
47.0,82.0,EA Sports,4.33,Sports,6.08,0.05,0.8,FIFA 15,0.9,PS4,Electronic Arts,E,988.0,5.7,2014
42.0,96.0,KCEJ,2.01,Action,6.05,0.87,2.45,Metal Gear Solid 2: Sons of Liberty,0.72,PS2,Konami Digital Entertainment,M,1026.0,8.7,2001
,,,1.2,Platform,6.03,0.16,4.47,Sonic the Hedgehog 2,0.19,GEN,Sega,,,,1992
20.0,94.0,KCEJ,1.83,Action,6.03,0.78,3.18,Metal Gear Solid,0.24,PS,Konami Digital Entertainment,M,918.0,9.4,1998
82.0,94.0,Kojima Productions,1.71,Action,5.99,0.83,2.63,Metal Gear Solid 4: Guns of the Patriots,0.82,PS3,Konami Digital Entertainment,M,3558.0,8.7,2008
64.0,92.0,Square Enix,0.0,Role-Playing,5.95,2.33,1.88,Final Fantasy XII,1.74,PS2,Square Enix,T,972.0,7.6,2006
98.0,95.0,Naughty Dog,2.18,Action,5.87,0.28,2.41,The Last of Us,0.99,PS3,Sony Computer Entertainment Europe,M,8003.0,9.1,2013
85.0,95.0,"SCE/WWS, Media Molecule",1.98,Platform,5.82,0.17,2.8,LittleBigPlanet,0.87,PS3,Sony Computer Entertainment,E,5311.0,6.8,2008
13.0,89.0,Capcom,1.47,Action,5.82,2.02,1.88,Resident Evil 2,0.45,PS,Virgin Interactive,M,364.0,9.2,1998
65.0,87.0,Level 5,0.67,Role-Playing,5.78,4.35,0.63,Dragon Quest IX: Sentinels of the Starry Skies,0.15,DS,Nintendo,E10+,197.0,8.8,2009
8.0,89.0,Namco,1.89,Fighting,5.74,1.36,2.26,Tekken 2,0.23,PS,Sony Computer Entertainment,T,102.0,8.9,1996
95.0,76.0,"Bungie Software, Bungie",2.07,Shooter,5.64,0.16,2.49,Destiny,0.92,PS4,Activision,T,5380.0,6.1,2014
17.0,80.0,Traveller's Tales,1.55,Action,5.64,0.0,3.57,LEGO Star Wars: The Complete Saga,0.51,Wii,LucasArts,E10+,62.0,8.9,2007
35.0,67.0,Taito Corporation,1.91,Simulation,5.63,0.07,3.07,Cooking Mama,0.57,DS,505 Games,E,21.0,7.2,2006
,,,0.69,Puzzle,5.58,1.81,2.97,Tetris,0.11,NES,Nintendo,,,,1988
,,,0.6,Fighting,5.55,1.97,2.95,Super Smash Bros.,0.04,N64,Nintendo,,,,1999
70.0,91.0,Ubisoft Montreal,1.93,Action,5.55,0.21,2.54,Assassin's Creed II,0.86,PS3,Ubisoft,M,1202.0,8.6,2009
77.0,81.0,Ubisoft Montreal,1.64,Adventure,5.54,0.07,3.28,Assassin's Creed,0.56,X360,Ubisoft,M,1074.0,7.7,2007
90.0,92.0,Turn 10,1.9,Racing,5.49,0.1,2.99,Forza Motorsport 3,0.5,X360,Microsoft Game Studios,E,516.0,8.0,2009
19.0,84.0,Nintendo,1.24,Platform,5.49,0.91,3.14,Super Mario Advance,0.2,GBA,Nintendo,E,41.0,7.8,2001
48.0,81.0,Capcom,0.55,Role-Playing,5.48,4.13,0.47,Monster Hunter Freedom Unite,0.34,PSP,Capcom,T,124.0,8.7,2008
42.0,96.0,Rocksteady Studios,1.85,Action,5.48,0.11,2.71,Batman: Arkham City,0.81,PS3,Warner Bros. Interactive Entertainment,T,2162.0,8.6,2011
14.0,97.0,Rockstar North,2.19,Action,5.48,0.0,2.81,Grand Theft Auto V,0.47,XOne,Take-Two Interactive,M,764.0,7.9,2014
24.0,93.0,Intelligent Systems,1.64,Racing,5.47,0.99,2.62,Mario Kart: Super Circuit,0.23,GBA,Nintendo,E,108.0,8.3,2001
,,,1.11,Platform,5.46,0.95,3.21,Super Mario World,0.2,GBA,Nintendo,,,,2001
,,,1.24,Strategy,5.45,0.94,3.18,Pokemon Stadium,0.09,N64,Nintendo,,,,1999
22.0,66.0,Traveller's Tales,2.29,Platform,5.42,0.24,2.07,Crash Bandicoot: The Wrath of Cortex,0.82,PS2,Universal Interactive,E,156.0,7.1,2001
45.0,85.0,Treyarch,1.83,Shooter,5.39,0.0,2.73,Call of Duty: World at War,0.83,PS3,Activision,M,409.0,7.6,2008
113.0,93.0,Naughty Dog,2.5,Shooter,5.38,0.19,1.85,Uncharted 4: A Thief's End,0.85,PS4,Sony Computer Entertainment,T,7064.0,7.9,2016
,,,0.96,Puzzle,5.34,2.0,2.18,Dr. Mario,0.2,GB,Nintendo,,,,1989
83.0,83.0,Square Enix,1.21,Role-Playing,5.33,1.87,1.74,Final Fantasy XIII,0.51,PS3,Square Enix,T,2483.0,7.3,2009
,,,1.12,Misc,5.31,1.01,3.02,Pokemon Pinball,0.16,GB,Nintendo,,,,1999
22.0,94.0,SquareSoft,0.77,Role-Playing,5.3,2.78,1.62,Final Fantasy IX,0.14,PS,SquareSoft,T,779.0,8.9,2000
61.0,84.0,Ubisoft,1.69,Action,5.29,0.03,3.13,Assassin's Creed III,0.44,X360,Ubisoft,M,1196.0,6.7,2012
45.0,85.0,SquareSoft,1.08,Role-Playing,5.29,2.11,1.92,Final Fantasy X-2,0.17,PS2,Electronic Arts,T,400.0,6.6,2003
,,,0.79,Platform,5.27,1.09,3.33,Donkey Kong 64,0.06,N64,Nintendo,,,,1999
53.0,81.0,Sledgehammer Games,1.55,Shooter,5.27,0.01,3.22,Call of Duty: Advanced Warfare,0.48,XOne,Activision,M,898.0,5.4,2014
,,,2.37,Misc,5.26,0.0,2.03,Minecraft,0.87,PS3,Sony Computer Entertainment,,,,2014
82.0,90.0,Ubisoft Montreal,1.55,Action,5.26,0.08,3.11,Assassin's Creed II,0.51,X360,Ubisoft,M,1305.0,8.8,2009
13.0,85.0,Core Design Ltd.,2.46,Action,5.24,0.2,2.3,Tomb Raider II,0.28,PS,Eidos Interactive,T,,,1997
29.0,94.0,EA Tiburon,0.26,Sports,5.23,0.01,4.26,Madden NFL 2004,0.71,PS2,Electronic Arts,E,140.0,8.5,
,,,2.11,Simulation,5.23,1.9,0.97,Tomodachi Life,0.24,3DS,Nintendo,,,,2013
70.0,84.0,Nintendo,1.34,Platform,5.22,1.27,2.3,New Super Mario Bros. U,0.32,WiiU,Nintendo,E,733.0,8.1,2012
63.0,89.0,Level 5,0.75,Role-Playing,5.21,3.61,0.65,Dragon Quest VIII: Journey of the Cursed King,0.2,PS2,Square Enix,T,245.0,8.8,2004
,,,1.25,Platform,5.2,0.83,2.93,Super Mario Bros. 3,0.2,GBA,Nintendo,,,,2003
72.0,85.0,Level 5,2.43,Puzzle,5.19,1.03,1.21,Professor Layton and the Curious Village,0.52,DS,Nintendo,E,147.0,8.6,2007
,,,0.98,Platform,5.19,1.57,2.49,Super Mario Land 3: Wario Land,0.15,GB,Nintendo,,,,1994
48.0,90.0,Electronic Arts,3.47,Action,5.16,0.03,1.09,FIFA Soccer 13,0.57,X360,Electronic Arts,E,403.0,6.1,2012
,,,0.74,Platform,5.15,2.2,2.1,Donkey Kong Country 2: Diddy's Kong Quest,0.11,SNES,Nintendo,,,,1995
86.0,88.0,Blizzard Entertainment,2.16,Role-Playing,5.14,0.0,2.44,Diablo III,0.54,PC,Activision,M,9629.0,4.0,2012
30.0,68.0,EA LA,2.23,Shooter,5.13,0.13,1.98,Medal of Honor: Rising Sun,0.8,PS2,Electronic Arts,T,100.0,7.6,2003
,,,0.61,Platform,5.13,1.7,2.71,Kirby's Dream Land,0.11,GB,Nintendo,,,,1992
,,,1.69,Simulation,5.12,0.0,3.22,Microsoft Flight Simulator,0.2,PC,Microsoft Game Studios,,,,1996
